t,true_vol,est_vol_fast,est_vol_smooth,true_log_vol,est_log_vol_fast,est_log_vol_smooth,true_regime,est_regime_fast,est_regime_smooth,regime_confidence,surprise,entropy,vol_ratio,ess,detected,change_type
0,0.011750,0.012878,0.012878,-4.4439,-4.4129,-4.4129,0,0,0,0.261,0.6269,1.3845,1.0258,199.7,0,0
1,0.011124,0.013290,0.013290,-4.4986,-4.4016,-4.4016,0,0,0,0.297,1.9313,1.3628,1.0523,188.2,0,0
2,0.011713,0.012731,0.012731,-4.4470,-4.4536,-4.4536,0,0,0,0.386,2.2260,1.2736,1.0708,157.5,0,0
3,0.011783,0.012544,0.012544,-4.4411,-4.4667,-4.4667,0,0,0,0.436,0.9049,1.2267,1.0854,133.5,0,0
4,0.011221,0.013317,0.012878,-4.4900,-4.4034,-4.4129,0,0,0,0.261,0.7245,1.1938,1.1051,129.0,0,0
5,0.011524,0.012141,0.013290,-4.4633,-4.4880,-4.4016,0,0,0,0.297,2.7392,1.0546,1.1120,101.1,0,0
6,0.011644,0.011952,0.012731,-4.4530,-4.4970,-4.4536,0,0,0,0.386,0.8833,1.0349,1.1165,88.9,0,0
7,0.012522,0.011250,0.012544,-4.3803,-4.5511,-4.4667,0,0,0,0.436,1.1244,0.9413,1.1141,189.6,0,0
8,0.012081,0.014392,0.013317,-4.4161,-4.3151,-4.4034,0,0,0,0.425,1.0205,1.2062,1.1392,189.2,0,0
9,0.012748,0.016369,0.012141,-4.3624,-4.1915,-4.4880,0,1,0,0.519,0.7744,1.2216,1.1782,173.0,0,0
10,0.012918,0.015504,0.011952,-4.3491,-4.2421,-4.4970,0,0,0,0.551,0.7943,1.1239,1.2048,178.8,0,0
11,0.012981,0.019819,0.011250,-4.3443,-3.9971,-4.5511,0,1,0,0.614,1.1087,1.2065,1.2643,140.6,0,0
12,0.012339,0.019925,0.014392,-4.3950,-3.9949,-4.3151,0,1,0,0.407,0.6534,1.2472,1.3167,139.6,0,0
13,0.012837,0.021449,0.016369,-4.3554,-3.9212,-4.1915,0,1,1,0.385,0.7625,1.2374,1.3743,127.1,0,0
14,0.012212,0.020808,0.015504,-4.4053,-3.9490,-4.2421,0,1,0,0.426,0.6811,1.1775,1.4188,122.8,0,0
15,0.012466,0.019435,0.019819,-4.3847,-4.0116,-3.9971,0,1,1,0.460,0.8336,1.1297,1.4460,119.3,0,0
16,0.013247,0.020611,0.019925,-4.3240,-3.9494,-3.9949,0,1,1,0.429,0.7567,1.1306,1.4783,108.9,0,0
17,0.013627,0.020344,0.021449,-4.2957,-3.9603,-3.9212,0,1,1,0.454,0.6943,1.1466,1.5036,103.4,0,0
18,0.013298,0.018649,0.020808,-4.3201,-4.0448,-3.9490,0,0,1,0.475,1.6564,1.0666,1.5119,98.8,0,0
19,0.012775,0.021426,0.019435,-4.3602,-3.9136,-4.0116,0,1,1,0.427,0.8076,1.1803,1.5394,188.8,0,0
20,0.012708,0.020761,0.020611,-4.3655,-3.9420,-3.9494,0,1,1,0.475,0.6427,1.1391,1.5574,190.0,0,0
21,0.013016,0.018400,0.020344,-4.3416,-4.0507,-3.9603,0,0,1,0.411,5.5170,1.0210,1.5547,181.9,1,3
22,0.013201,0.017998,0.018649,-4.3274,-4.0716,-4.0448,0,0,0,0.467,0.6656,1.0112,1.5485,172.8,0,0
23,0.013771,0.017120,0.021426,-4.2852,-4.1194,-3.9136,0,0,1,0.435,0.8599,0.9699,1.5356,158.4,0,0
24,0.013717,0.016041,0.020761,-4.2891,-4.1826,-3.9420,0,0,1,0.428,1.5789,0.9441,1.5156,137.5,0,0
25,0.013321,0.015276,0.018400,-4.3184,-4.2301,-4.0507,0,0,0,0.521,1.0429,0.9009,1.4916,119.6,0,0
26,0.012459,0.021535,0.017998,-4.3853,-3.9085,-4.0716,0,1,0,0.542,1.1261,1.2839,1.5154,140.6,0,0
27,0.012402,0.019988,0.017120,-4.3899,-3.9946,-4.1194,0,0,0,0.562,7.0789,1.1812,1.5241,141.6,0,0
28,0.013689,0.018171,0.016041,-4.2912,-4.0793,-4.1826,0,0,0,0.616,1.2111,1.0909,1.5179,128.4,0,0
29,0.013025,0.017017,0.015276,-4.3409,-4.1358,-4.2301,0,0,0,0.661,0.9426,1.0213,1.5034,114.0,0,0
30,0.012477,0.015780,0.021535,-4.3838,-4.2027,-3.9085,0,0,1,0.372,1.4603,0.9512,1.4811,97.0,0,0
31,0.012835,0.014643,0.019988,-4.3556,-4.2700,-3.9946,0,0,0,0.443,2.7527,0.8626,1.4525,190.4,0,0
32,0.013398,0.015354,0.018171,-4.3126,-4.2268,-4.0793,0,0,0,0.510,0.6316,0.9446,1.4317,191.4,0,0
33,0.013445,0.014500,0.017017,-4.3092,-4.2804,-4.1358,0,0,0,0.550,1.4329,0.8941,1.4067,174.3,0,0
34,0.012777,0.013885,0.015780,-4.3601,-4.3203,-4.2027,0,0,0,0.619,0.9448,0.8405,1.3795,157.0,0,0
35,0.012824,0.015562,0.014643,-4.3564,-4.2172,-4.2700,0,0,0,0.673,0.7522,1.0658,1.3670,167.8,0,0
36,0.012210,0.014682,0.015354,-4.4055,-4.2719,-4.2268,0,0,0,0.649,1.3355,0.9563,1.3491,151.8,0,0
37,0.012565,0.013848,0.014500,-4.3769,-4.3252,-4.2804,0,0,0,0.676,1.8939,0.8986,1.3268,132.5,0,0
38,0.012532,0.017837,0.013885,-4.3794,-4.0958,-4.3203,0,0,0,0.698,1.0419,1.1598,1.3352,152.1,0,0
39,0.011107,0.016360,0.015562,-4.5002,-4.1778,-4.2172,0,0,0,0.564,1.7329,1.0463,1.3317,146.9,0,0
40,0.010867,0.015407,0.014682,-4.5220,-4.2324,-4.2719,0,0,0,0.622,0.9484,0.9657,1.3213,134.3,0,0
41,0.010699,0.015038,0.013848,-4.5376,-4.2533,-4.3252,0,0,0,0.661,0.7574,0.9543,1.3091,124.5,0,0
42,0.011361,0.013992,0.017837,-4.4775,-4.3169,-4.0958,0,0,0,0.460,1.4865,0.8136,1.2905,108.3,0,0
43,0.011184,0.013367,0.016360,-4.4933,-4.3582,-4.1778,0,0,0,0.569,1.3060,0.8491,1.2692,94.7,0,0
44,0.011991,0.012656,0.015407,-4.4236,-4.4064,-4.2324,0,0,0,0.621,1.8377,0.7741,1.2449,192.9,0,0
45,0.011296,0.012109,0.015038,-4.4833,-4.4485,-4.2533,0,0,0,0.628,4.0202,0.7194,1.2191,177.8,0,0
46,0.012345,0.011830,0.013992,-4.3945,-4.4715,-4.3169,0,0,0,0.701,0.9059,0.7179,1.1939,164.2,0,0
47,0.012680,0.011430,0.013367,-4.3678,-4.5036,-4.3582,0,0,0,0.698,1.8794,0.7132,1.1683,149.0,0,0
48,0.013579,0.014617,0.012656,-4.2992,-4.2853,-4.4064,0,0,0,0.734,1.2047,1.1055,1.1683,165.8,0,0
49,0.013582,0.013738,0.012109,-4.2990,-4.3433,-4.4485,0,0,0,0.761,4.5678,0.9656,1.1618,161.0,0,0
50,0.014734,0.014520,0.011830,-4.2176,-4.2945,-4.4715,0,0,0,0.771,0.6718,1.0051,1.1614,158.6,0,0
51,0.014009,0.013400,0.011430,-4.2681,-4.3666,-4.5036,0,0,0,0.763,1.6544,0.8145,1.1529,147.3,0,0
52,0.013429,0.012676,0.014617,-4.3103,-4.4137,-4.2853,0,0,0,0.517,0.9996,0.7583,1.1400,134.5,0,0
53,0.013911,0.019487,0.013738,-4.2751,-4.0261,-4.3433,0,0,0,0.637,1.3761,1.2881,1.1769,116.6,0,0
54,0.013452,0.018619,0.014520,-4.3086,-4.0699,-4.2945,0,0,0,0.628,0.7356,1.2112,1.2031,122.8,0,0
55,0.013289,0.018141,0.013400,-4.3208,-4.0901,-4.3666,0,0,0,0.727,0.6958,1.1249,1.2226,121.1,0,0
56,0.012280,0.016409,0.012676,-4.3998,-4.1792,-4.4137,0,0,0,0.732,1.4204,1.0383,1.2274,126.6,0,0
57,0.013010,0.014846,0.019487,-4.3420,-4.2673,-4.0261,0,0,0,0.383,1.9918,0.8733,1.2204,123.8,0,0
