tick,true_log_vol,true_vol,true_hypo,return,is_outlier,outlier_sigma,est_log_vol,est_vol,vol_std,est_hypo,weight_calm,weight_trend,weight_crisis,ess,min_weight,outlier_frac,learned_mu,learned_sigma,latency_us
0,-4.848982,0.007836,0,-0.00631977,0,0.0,-4.488652,0.012252,0.403717,0,0.5480,0.2539,0.1981,503.00,0.0000,0.0112,-5.0619,0.1188,203.30
1,-4.780111,0.008395,0,-0.01139026,0,0.0,-4.403443,0.013459,0.412168,0,0.5727,0.2546,0.1727,490.05,0.0000,0.0096,-5.0619,0.1188,39.40
2,-4.764836,0.008524,0,0.00334049,0,0.0,-4.515147,0.012099,0.418470,0,0.6518,0.2502,0.0979,442.02,0.0000,0.0162,-5.0619,0.1188,39.20
3,-4.713931,0.008969,0,-0.00403356,0,0.0,-4.619352,0.010787,0.400420,0,0.7111,0.2363,0.0526,400.31,0.0000,0.0122,-5.0619,0.1188,39.10
4,-4.784350,0.008360,0,-0.01701013,0,0.0,-4.388614,0.013456,0.372166,0,0.6687,0.2565,0.0748,418.23,0.0000,0.0119,-5.0619,0.1188,38.80
5,-4.829814,0.007988,0,0.00569619,0,0.0,-4.467354,0.012373,0.362668,0,0.7092,0.2471,0.0438,385.52,0.0000,0.0105,-5.0619,0.1188,62.60
6,-4.850455,0.007825,0,-0.00041183,0,0.0,-4.567310,0.011179,0.364461,0,0.7489,0.2217,0.0293,361.06,0.0000,0.0670,-5.0619,0.1188,55.00
7,-4.796534,0.008258,0,0.00377065,0,0.0,-4.653102,0.010207,0.358435,0,0.7842,0.1925,0.0233,340.53,0.0000,0.0115,-5.0619,0.1188,47.50
8,-4.809111,0.008155,0,-0.00592970,0,0.0,-4.693948,0.009745,0.345783,0,0.7958,0.1844,0.0198,325.06,0.0000,0.0082,-5.0619,0.1188,70.70
9,-4.794103,0.008278,0,0.00406617,0,0.0,-4.763301,0.009088,0.346265,0,0.8142,0.1715,0.0143,309.51,0.0000,0.0097,-5.0619,0.1188,58.20
10,-4.745782,0.008688,0,-0.00130155,0,0.0,-4.863587,0.008259,0.361543,0,0.8267,0.1597,0.0136,295.54,0.0000,0.0215,-5.0619,0.1188,49.10
11,-4.772764,0.008457,0,-0.00653697,0,0.0,-4.854424,0.008270,0.337821,0,0.8256,0.1562,0.0182,285.67,0.0000,0.0074,-5.0619,0.1188,68.90
12,-4.801128,0.008220,0,0.00203705,0,0.0,-4.941893,0.007605,0.349422,0,0.8320,0.1575,0.0105,271.24,0.0000,0.0140,-5.0619,0.1188,42.50
